Player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA
Jake Allen,32,42,41,15,24,3,145,1335,1190,0.891,3.55,1,5.8,2450,20,0.488,10,113.0,-17.17
Frederik Andersen,33,34,33,21,11,1,82,849,767,0.903,2.48,1,4.7,1984,17,0.515,6,101.0,-0.71
Craig Anderson,41,26,24,11,11,2,76,823,747,0.908,3.06,1,4.9,1490,12,0.5,5,96.0,2.8
Jordan Binnington,29,61,60,27,27,6,194,1826,1632,0.894,3.31,2,8.4,3516,27,0.45,13,111.0,-19.16
Mackenzie Blackwood,26,22,20,10,6,2,60,563,503,0.893,3.2,0,2.6,1126,11,0.55,5,111.0,-6.09
Sergei Bobrovsky,34,50,49,24,20,3,145,1466,1321,0.901,3.07,1,7.8,2834,30,0.612,10,103.0,-4.63
Jack Campbell,31,36,34,21,9,4,115,1027,912,0.888,3.41,1,4.1,2026,12,0.353,8,117.0,-16.66
Eric Comrie,27,19,19,9,9,1,68,594,526,0.886,3.67,1,2.2,1112,8,0.421,5,120.0,-11.12
Pheonix Copley,31,37,35,24,6,3,92,947,855,0.903,2.64,1,5.2,2089,21,0.6,8,101.0,-1.32
Collin Delia,28,20,18,10,6,2,62,526,464,0.882,3.28,0,1.8,1136,8,0.444,4,123.0,-11.64
Thatcher Demko,27,32,32,14,14,4,99,1005,906,0.901,3.16,1,5.4,1879,14,0.438,6,103.0,-2.77
Casey DeSmith,31,38,33,15,16,4,109,1142,1033,0.905,3.17,0,6.5,2066,16,0.485,7,100.0,0.35
Lukáš Dostál,22,19,17,4,10,3,67,679,612,0.901,3.78,0,3.6,1063,12,0.706,1,103.0,-1.99
Brian Elliott,37,22,22,12,8,2,75,689,614,0.891,3.4,2,3.0,1325,9,0.409,5,114.0,-9.03
Marc-André Fleury,38,46,45,24,16,4,126,1367,1241,0.908,2.85,2,8.2,2654,26,0.578,8,96.0,4.89
Anton Forsberg,30,28,25,11,11,2,80,817,737,0.902,3.26,2,4.4,1472,12,0.48,6,102.0,-1.77
Pavel Francouz,32,16,16,8,7,1,42,493,451,0.915,2.61,1,3.3,965,9,0.563,3,89.0,5.2
Alexandar Georgiev,26,62,62,40,16,6,156,1904,1748,0.918,2.53,5,13.4,3700,41,0.661,6,86.0,26.31
